Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,1/31/2023,17.3
Msa,"Aberdeen, WA",WA,,,1/31/2023,26.1
Msa,"Abilene, TX",TX,,,1/31/2023,14.5
Msa,"Adrian, MI",MI,,,1/31/2023,14.7
Msa,"Akron, OH",OH,,,1/31/2023,15.1
Msa,"Albany, NY",NY,,,1/31/2023,14.1
Msa,"Albany, OR",OR,,,1/31/2023,20.3
Msa,"Albemarle, NC",NC,,,1/31/2023,17
Msa,"Albert Lea, MN",MN,,,1/31/2023,15.9
Msa,"Albertville, AL",AL,,,1/31/2023,19.4
Msa,"Albuquerque, NM",NM,,,1/31/2023,19
Msa,"Alexandria, LA",LA,,,1/31/2023,5.9
Msa,"Alexandria, MN",MN,,,1/31/2023,16.5
Msa,"Allentown, PA",PA,,,1/31/2023,17.3
Msa,"Alma, MI",MI,,,1/31/2023,17.2
Msa,"Alpena, MI",MI,,,1/31/2023,15.9
Msa,"Altoona, PA",PA,,,1/31/2023,13.4
Msa,"Amarillo, TX",TX,,,1/31/2023,16.9
Msa,"Ames, IA",IA,,,1/31/2023,12.6
Msa,"Anchorage, AK",AK,,,1/31/2023,10.2
Msa,"Angola, IN",IN,,,1/31/2023,16.4
Msa,"Ann Arbor, MI",MI,,,1/31/2023,15.8
Msa,"Anniston, AL",AL,,,1/31/2023,17.4
Msa,"Appleton, WI",WI,,,1/31/2023,17.2
Msa,"Arcadia, FL",FL,,,1/31/2023,18.9
Msa,"Arkadelphia, AR",AR,,,1/31/2023,14.8
Msa,"Arkansas City-Winfield, KS",KS,,,1/31/2023,12.5
Msa,"Asheville, NC",NC,,,1/31/2023,19.6
Msa,"Ashland, OH",OH,,,1/31/2023,16.4
Msa,"Ashtabula, OH",OH,,,1/31/2023,15.9
Msa,"Astoria, OR",OR,,,1/31/2023,18.7
Msa,"Atchison, KS",KS,,,1/31/2023,14.2
Msa,"Athens, GA",GA,,,1/31/2023,20.3
Msa,"Athens, OH",OH,,,1/31/2023,14.7
Msa,"Athens, TN",TN,,,1/31/2023,18.2
Msa,"Athens, TX",TX,,,1/31/2023,25.7
Msa,"Atlanta, GA",GA,,,1/31/2023,23.3
Msa,"Atlantic City, NJ",NJ,,,1/31/2023,20.9
Msa,"Auburn, AL",AL,,,1/31/2023,19.4
Msa,"Auburn, IN",IN,,,1/31/2023,18.5
Msa,"Auburn, NY",NY,,,1/31/2023,14.8
Msa,"Augusta, GA",GA,,,1/31/2023,17.4
Msa,"Augusta, ME",ME,,,1/31/2023,22
Msa,"Austin, MN",MN,,,1/31/2023,15.2
Msa,"Austin, TX",TX,,,1/31/2023,28.7
Msa,"Bakersfield, CA",CA,,,1/31/2023,19.3
Msa,"Baltimore, MD",MD,,,1/31/2023,12.9
Msa,"Bangor, ME",ME,,,1/31/2023,18.5
Msa,"Baraboo, WI",WI,,,1/31/2023,16.6
Msa,"Bardstown, KY",KY,,,1/31/2023,15.5
Msa,"Barnstable Town, MA",MA,,,1/31/2023,20
Msa,"Barre, VT",VT,,,1/31/2023,25.2
Msa,"Bartlesville, OK",OK,,,1/31/2023,15.1
Msa,"Bastrop, LA",LA,,,1/31/2023,12.8
Msa,"Batavia, NY",NY,,,1/31/2023,15.6
Msa,"Baton Rouge, LA",LA,,,1/31/2023,12.1
Msa,"Battle Creek, MI",MI,,,1/31/2023,18.1
Msa,"Bay City, MI",MI,,,1/31/2023,16.1
Msa,"Beatrice, NE",NE,,,1/31/2023,15
Msa,"Beaumont, TX",TX,,,1/31/2023,13
Msa,"Beaver Dam, WI",WI,,,1/31/2023,14.7
Msa,"Bedford, IN",IN,,,1/31/2023,17.8
Msa,"Bellefontaine, OH",OH,,,1/31/2023,16.8
Msa,"Bellingham, WA",WA,,,1/31/2023,20.7
Msa,"Bemidji, MN",MN,,,1/31/2023,14.8
Msa,"Bend, OR",OR,,,1/31/2023,22.8
Msa,"Berlin, NH",NH,,,1/31/2023,16
Msa,"Big Rapids, MI",MI,,,1/31/2023,16.2
Msa,"Big Spring, TX",TX,,,1/31/2023,13.1
Msa,"Big Stone Gap, VA",VA,,,1/31/2023,12.3
Msa,"Billings, MT",MT,,,1/31/2023,15
Msa,"Binghamton, NY",NY,,,1/31/2023,15.3
Msa,"Birmingham, AL",AL,,,1/31/2023,16
Msa,"Bismarck, ND",ND,,,1/31/2023,10.4
Msa,"Blacksburg, VA",VA,,,1/31/2023,14.8
Msa,"Bloomington, IL",IL,,,1/31/2023,12.8
Msa,"Bloomington, IN",IN,,,1/31/2023,17
Msa,"Blytheville, AR",AR,,,1/31/2023,13.1
Msa,"Bogalusa, LA",LA,,,1/31/2023,12.2
Msa,"Boise City, ID",ID,,,1/31/2023,29.1
Msa,"Boone, IA",IA,,,1/31/2023,13.4
Msa,"Boone, NC",NC,,,1/31/2023,22.9
Msa,"Boston, MA",MA,,,1/31/2023,16
Msa,"Boulder, CO",CO,,,1/31/2023,24
Msa,"Bowling Green, KY",KY,,,1/31/2023,16.5
Msa,"Bozeman, MT",MT,,,1/31/2023,22.3
Msa,"Brainerd, MN",MN,,,1/31/2023,18.3
Msa,"Branson, MO",MO,,,1/31/2023,17.7
