,RegionName_x,RegionID,SizeRank_x,Rents,Date,RegionName,SizeRank,Home Values
2014/01,United States,102001,0,1318,,,,
2014/01,"New York, NY",394913,1,4684,,,,
2014/01,"Los Angeles-Long Beach-Anaheim, CA",753899,2,1750,,,,
2014/01,"Chicago, IL",394463,3,1405,,,,
2014/01,"Dallas-Fort Worth, TX",394514,4,1128,,,,
2014/01,"Philadelphia, PA",394974,5,1331,,,,
2014/01,"Houston, TX",394692,6,1161,,,,
2014/01,"Washington, DC",395209,7,1772,,,,
2014/01,"Miami-Fort Lauderdale, FL",394856,8,1563,,,,
2014/01,"Atlanta, GA",394347,9,1078,,,,
2014/01,"Boston, MA",394404,10,2154,,,,
2014/01,"San Francisco, CA",395057,11,2155,,,,
2014/01,"Detroit, MI",394532,12,964,,,,
2014/01,"Riverside, CA",395025,13,1425,,,,
2014/01,"Phoenix, AZ",394976,14,958,,,,
2014/01,"Seattle, WA",395078,15,1362,,,,
2014/01,"Minneapolis-St Paul, MN",394865,16,1181,,,,
2014/01,"San Diego, CA",395056,17,1703,,,,
2014/01,"St. Louis, MO",395121,18,907,,,,
2014/01,"Tampa, FL",395148,19,1107,,,,
2014/01,"Baltimore, MD",394358,20,1436,,,,
2014/01,"Denver, CO",394530,21,1191,,,,
2014/01,"Pittsburgh, PA",394982,22,1005,,,,
2014/01,"Portland, OR",394998,23,1136,,,,
2014/01,"Charlotte, NC",394458,24,1060,,,,
2014/01,"Sacramento, CA",395045,25,1268,,,,
2014/01,"San Antonio, TX",395055,26,957,,,,
2014/01,"Orlando, FL",394943,27,1162,,,,
2014/01,"Cincinnati, OH",394466,28,931,,,,
2014/01,"Cleveland, OH",394475,29,922,,,,
2014/01,"Kansas City, MO",394735,30,884,,,,
2014/01,"Las Vegas, NV",394775,31,1005,,,,
2014/01,"Columbus, OH",394492,32,929,,,,
2014/01,"Indianapolis, IN",394705,33,954,,,,
2014/01,"San Jose, CA",395059,34,2162,,,,
2014/01,"Austin, TX",394355,35,1177,,,,
2014/01,"Virginia Beach, VA",395194,36,1150,,,,
2014/01,"Nashville, TN",394902,37,1124,,,,
2014/01,"Providence, RI",395005,38,1158,,,,
2014/01,"Milwaukee, WI",394862,39,935,,,,
2014/01,"Jacksonville, FL",394714,40,1072,,,,
2014/01,"Memphis, TN",394849,41,995,,,,
2014/01,"Oklahoma City, OK",394935,42,960,,,,
2014/01,"Louisville-Jefferson County, KY",394807,43,844,,,,
2014/01,"Hartford, CT",394669,44,1228,,,,
2014/01,"Richmond, VA",395022,45,,,,,
2014/01,"New Orleans, LA",394910,46,1079,,,,
2014/01,"Buffalo, NY",394425,47,785,,,,
